subject_id,subject_kind,severity,category,details_json,suggested_fix
artwork:black hole,node,bug,id_collision,"{""creators"": [""practitioner:addie wagenknecht"", ""practitioner:suzanne treister""], ""gatherers"": [""gatherer-objkt-tags-v3"", ""gatherer-wikidata-v3b""], ""name"": ""Black Hole""}",investigate the producers (gatherers in `seed/_build/`) that hit this slug — their slug rule is probably too generic. Fix the producer's slug-disambiguation and regenerate. Do not hand-edit `seed/*.json`.
artwork:untitled,node,bug,id_collision,"{""creators"": [""practitioner:american artist"", ""practitioner:harold cohen"", ""practitioner:vera molnar""], ""gatherers"": [""gatherer-enrichment"", ""gatherer-moma-digital-v3"", ""gatherer-wikidata-v3b""], ""name"": ""Untitled""}",investigate the producers (gatherers in `seed/_build/`) that hit this slug — their slug rule is probably too generic. Fix the producer's slug-disambiguation and regenerate. Do not hand-edit `seed/*.json`.
