subject_id,subject_kind,severity,category,details_json,suggested_fix
BELONGS_TO,edge,warning,schema_disagreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 193)"", ""source_types"": [""practitioner""], ""target_types"": [""collective"", ""scene""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 220"", ""source_types"": [""practitioner""], ""target_types"": [""collective"", ""scene""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 299 edge structure table"", ""source_types"": [""practitioner""], ""target_types"": [""scene""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": true, ""edge_count"": 185}",
USES_TECHNIQUE,edge,warning,schema_disagreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 102)"", ""source_types"": [""practitioner""], ""target_types"": [""concept""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 219"", ""source_types"": [""practitioner""], ""target_types"": [""technique""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 300 edge structure table ('artwork \u2192 concept, What method/tool the work employs')"", ""source_types"": [""artwork""], ""target_types"": [""concept""]}}, ""conformance_pct"": {""claude_md"": null, ""skill_md"": null, ""sources_md"": null}, ""documents_disagree"": true, ""edge_count"": 0}",
