subject_id,subject_kind,severity,category,details_json,suggested_fix
BELONGS_TO,edge,warning,schema_disagreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 193)"", ""source_types"": [""practitioner""], ""target_types"": [""collective"", ""scene""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 220"", ""source_types"": [""practitioner""], ""target_types"": [""collective"", ""scene""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 299 edge structure table"", ""source_types"": [""practitioner""], ""target_types"": [""scene""]}}, ""conformance_pct"": {""claude_md"": 95.9, ""skill_md"": 95.9, ""sources_md"": 95.9}, ""documents_disagree"": true, ""edge_count"": 193}",
EXHIBITED_AT,edge,warning,schema_disagreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md edge-types paragraph (Database section, count 305)"", ""source_types"": [""artwork""], ""target_types"": [""institution"", ""platform""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 221"", ""source_types"": [""artwork""], ""target_types"": [""institution"", ""platform""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 296 edge structure table ('What the seed produces honestly')"", ""source_types"": [""practitioner""], ""target_types"": [""institution""]}}, ""conformance_pct"": {""claude_md"": 3.6, ""skill_md"": 3.6, ""sources_md"": 90.8}, ""documents_disagree"": true, ""edge_count"": 305}",
USES_TECHNIQUE,edge,warning,schema_disagreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 102)"", ""source_types"": [""practitioner""], ""target_types"": [""concept""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 219"", ""source_types"": [""practitioner""], ""target_types"": [""technique""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 300 edge structure table ('artwork \u2192 concept, What method/tool the work employs')"", ""source_types"": [""artwork""], ""target_types"": [""concept""]}}, ""conformance_pct"": {""claude_md"": 0.0, ""skill_md"": 0.0, ""sources_md"": 100.0}, ""documents_disagree"": true, ""edge_count"": 102}",
